base,target,kind,a_idx,a_size,b_idx,b_size
US,JP,changed-same-index,144,458808,144,458808
US,JP,changed-same-index,145,438772,145,444012
US,JP,changed-same-index,146,458808,146,458808
US,JP,changed-same-index,147,424200,147,429440
US,JP,changed-same-index,148,458808,148,458808
US,JP,changed-same-index,149,424624,149,429864
US,JP,changed-same-index,150,458808,150,458808
US,JP,changed-same-index,151,396148,151,401388
US,JP,changed-same-index,152,458808,152,458808
US,JP,changed-same-index,153,323488,153,323488
US,JP,changed-same-index,154,458808,154,458808
US,JP,changed-same-index,155,307092,155,307092
US,JP,changed-same-index,156,458808,156,458808
US,JP,changed-same-index,157,296184,157,296184
US,JP,changed-same-index,158,458808,158,458808
US,JP,changed-same-index,159,308664,159,308664
US,JP,changed-same-index,160,458808,160,458808
US,JP,changed-same-index,161,269532,161,269532
US,JP,changed-same-index,162,458808,162,458808
US,JP,changed-same-index,163,254772,163,254772
US,JP,changed-same-index,164,458808,164,458808
US,JP,changed-same-index,165,218296,165,218296
US,JP,changed-same-index,166,458808,166,458808
US,JP,changed-same-index,167,238864,167,238864
US,JP,changed-same-index,168,458808,168,458808
US,JP,changed-same-index,169,307676,169,307676
US,JP,changed-same-index,170,458808,170,458808
US,JP,changed-same-index,171,298224,171,298224
US,JP,changed-same-index,172,458808,172,458808
US,JP,changed-same-index,173,283560,173,283560
US,JP,changed-same-index,174,458808,174,458808
US,JP,changed-same-index,175,293732,175,293732
US,JP,changed-same-index,176,458808,176,458808
US,JP,changed-same-index,177,238572,177,238572
US,JP,changed-same-index,178,458808,178,458808
US,JP,changed-same-index,179,227360,179,227360
US,JP,changed-same-index,180,458808,180,458808
US,JP,changed-same-index,181,227040,181,227040
US,JP,changed-same-index,182,458808,182,458808
US,JP,changed-same-index,183,218344,183,218344
US,JP,changed-same-index,184,458808,184,458808
US,JP,changed-same-index,185,293400,185,293372
US,JP,changed-same-index,186,458808,186,458808
US,JP,changed-same-index,187,277260,187,277232
US,JP,changed-same-index,188,458808,188,458808
US,JP,changed-same-index,189,276220,189,276220
US,JP,changed-same-index,190,458808,190,458808
US,JP,changed-same-index,191,277440,191,277412
US,JP,changed-same-index,192,458808,192,458808
US,JP,changed-same-index,193,240192,193,236848
US,JP,changed-same-index,194,458808,194,458808
US,JP,changed-same-index,195,244636,195,241292
US,JP,changed-same-index,196,458808,196,458808
US,JP,changed-same-index,197,226568,197,225884
US,JP,changed-same-index,198,458808,198,458808
US,JP,changed-same-index,199,227768,199,224424
US,JP,changed-same-index,200,229432,200,229432
US,JP,changed-same-index,201,421168,201,421168
US,JP,changed-same-index,215,458808,215,458808
US,JP,changed-same-index,216,495716,216,454596
US,JP,changed-same-index,218,896180,218,897496
US,JP,changed-same-index,221,1328,221,1328
US,JP,changed-same-index,222,5300,222,5540
US,JP,changed-same-index,223,5564,223,5640
US,JP,changed-same-index,224,3544,224,3788
US,JP,changed-same-index,225,2828,225,2988
US,JP,changed-same-index,226,44216,226,44216
US,JP,changed-same-index,227,44344,227,44344
US,JP,changed-same-index,228,34208,228,34208
US,JP,changed-same-index,229,34388,229,34388
US,JP,changed-same-index,230,44612,230,47540
US,JP,changed-same-index,231,60248,231,60380
US,JP,changed-same-index,232,40068,232,40032
US,JP,changed-same-index,233,56844,233,57568
US,JP,changed-same-index,234,11960,234,12400
US,JP,changed-same-index,235,14428,235,14748
US,JP,changed-same-index,236,14412,236,14760
US,JP,changed-same-index,237,15432,237,15784
US,JP,changed-same-index,238,15324,238,15672
US,JP,changed-same-index,239,15932,239,16248
US,JP,changed-same-index,240,15608,240,15932
US,JP,changed-same-index,241,14940,241,15292
US,JP,changed-same-index,256,21688,256,21340
US,JP,changed-same-index,258,114744,258,114744
US,JP,changed-same-index,259,309288,259,308972
US,JP,changed-same-index,260,295456,260,295456
US,JP,changed-same-index,261,297500,261,297500
US,JP,changed-same-index,262,295400,262,295400
